name	value
Win32_Process[1]/Caption	System Idle Process
Win32_Process[1]/CommandLine	
Win32_Process[1]/CreationClassName	Win32_Process
Win32_Process[1]/CreationDate	20161222161834.095114-480
Win32_Process[1]/CSCreationClassName	Win32_ComputerSystem
Win32_Process[1]/CSName	MICROSO-HL7QCV5
Win32_Process[1]/Description	System Idle Process
Win32_Process[1]/ExecutablePath	
Win32_Process[1]/ExecutionState	
Win32_Process[1]/Handle	0
Win32_Process[1]/HandleCount	0
Win32_Process[1]/InstallDate	
Win32_Process[1]/KernelModeTime	629332812500
Win32_Process[1]/MaximumWorkingSetSize	
Win32_Process[1]/MinimumWorkingSetSize	
Win32_Process[1]/Name	System Idle Process
Win32_Process[1]/OSCreationClassName	Win32_OperatingSystem
Win32_Process[1]/OSName	Microsoft Windows Server 2012 R2 Datacenter|C:\Windows|\Device\Harddisk0\Partition1
Win32_Process[1]/OtherOperationCount	0
Win32_Process[1]/OtherTransferCount	0
Win32_Process[1]/PageFaults	1
Win32_Process[1]/PageFileUsage	0
Win32_Process[1]/ParentProcessId	0
Win32_Process[1]/PeakPageFileUsage	0
Win32_Process[1]/PeakVirtualSize	65536
Win32_Process[1]/PeakWorkingSetSize	4
Win32_Process[1]/Priority	0
Win32_Process[1]/PrivatePageCount	0
Win32_Process[1]/ProcessId	0
Win32_Process[1]/QuotaNonPagedPoolUsage	0
Win32_Process[1]/QuotaPagedPoolUsage	0
Win32_Process[1]/QuotaPeakNonPagedPoolUsage	0
Win32_Process[1]/QuotaPeakPagedPoolUsage	0
Win32_Process[1]/ReadOperationCount	0
Win32_Process[1]/ReadTransferCount	0
Win32_Process[1]/SessionId	0
Win32_Process[1]/Status	
Win32_Process[1]/TerminationDate	
Win32_Process[1]/ThreadCount	18
Win32_Process[1]/UserModeTime	0
Win32_Process[1]/VirtualSize	65536
Win32_Process[1]/WindowsVersion	6.3.9600
Win32_Process[1]/WorkingSetSize	4096
Win32_Process[1]/WriteOperationCount	0
Win32_Process[1]/WriteTransferCount	0
Win32_Process[2]/Caption	System
Win32_Process[2]/CommandLine	
Win32_Process[2]/CreationClassName	Win32_Process
Win32_Process[2]/CreationDate	20161222161834.095114-480
Win32_Process[2]/CSCreationClassName	Win32_ComputerSystem
Win32_Process[2]/CSName	MICROSO-HL7QCV5
Win32_Process[2]/Description	System
Win32_Process[2]/ExecutablePath	
Win32_Process[2]/ExecutionState	
Win32_Process[2]/Handle	4
Win32_Process[2]/HandleCount	665
Win32_Process[2]/InstallDate	
Win32_Process[2]/KernelModeTime	31250000
Win32_Process[2]/MaximumWorkingSetSize	
Win32_Process[2]/MinimumWorkingSetSize	
Win32_Process[2]/Name	System
Win32_Process[2]/OSCreationClassName	Win32_OperatingSystem
Win32_Process[2]/OSName	Microsoft Windows Server 2012 R2 Datacenter|C:\Windows|\Device\Harddisk0\Partition1
Win32_Process[2]/OtherOperationCount	3723
Win32_Process[2]/OtherTransferCount	109051
Win32_Process[2]/PageFaults	4226
Win32_Process[2]/PageFileUsage	112
Win32_Process[2]/ParentProcessId	0
Win32_Process[2]/PeakPageFileUsage	276
Win32_Process[2]/PeakVirtualSize	7434240
Win32_Process[2]/PeakWorkingSetSize	1616
Win32_Process[2]/Priority	8
Win32_Process[2]/PrivatePageCount	114688
Win32_Process[2]/ProcessId	4
Win32_Process[2]/QuotaNonPagedPoolUsage	0
Win32_Process[2]/QuotaPagedPoolUsage	0
Win32_Process[2]/QuotaPeakNonPagedPoolUsage	0
Win32_Process[2]/QuotaPeakPagedPoolUsage	0
Win32_Process[2]/ReadOperationCount	280
Win32_Process[2]/ReadTransferCount	78205076
Win32_Process[2]/SessionId	0
Win32_Process[2]/Status	
Win32_Process[2]/TerminationDate	
Win32_Process[2]/ThreadCount	237
Win32_Process[2]/UserModeTime	0
Win32_Process[2]/VirtualSize	3473408
Win32_Process[2]/WindowsVersion	6.3.9600
Win32_Process[2]/WorkingSetSize	286720
Win32_Process[2]/WriteOperationCount	465
Win32_Process[2]/WriteTransferCount	8788646
Win32_Process[3]/Caption	smss.exe
Win32_Process[3]/CommandLine	
Win32_Process[3]/CreationClassName	Win32_Process
Win32_Process[3]/CreationDate	20161222161834.095114-480
Win32_Process[3]/CSCreationClassName	Win32_ComputerSystem
Win32_Process[3]/CSName	MICROSO-HL7QCV5
Win32_Process[3]/Description	smss.exe
Win32_Process[3]/ExecutablePath	
Win32_Process[3]/ExecutionState	
Win32_Process[3]/Handle	656
Win32_Process[3]/HandleCount	52
Win32_Process[3]/InstallDate	
Win32_Process[3]/KernelModeTime	781250
Win32_Process[3]/MaximumWorkingSetSize	
Win32_Process[3]/MinimumWorkingSetSize	
Win32_Process[3]/Name	smss.exe
Win32_Process[3]/OSCreationClassName	Win32_OperatingSystem
Win32_Process[3]/OSName	Microsoft Windows Server 2012 R2 Datacenter|C:\Windows|\Device\Harddisk0\Partition1
Win32_Process[3]/OtherOperationCount	262
Win32_Process[3]/OtherTransferCount	4004
Win32_Process[3]/PageFaults	533
Win32_Process[3]/PageFileUsage	276
Win32_Process[3]/ParentProcessId	4
Win32_Process[3]/PeakPageFileUsage	356
Win32_Process[3]/PeakVirtualSize	26894336
Win32_Process[3]/PeakWorkingSetSize	1052
Win32_Process[3]/Priority	11
Win32_Process[3]/PrivatePageCount	282624
Win32_Process[3]/ProcessId	656
Win32_Process[3]/QuotaNonPagedPoolUsage	3
Win32_Process[3]/QuotaPagedPoolUsage	13
Win32_Process[3]/QuotaPeakNonPagedPoolUsage	7
Win32_Process[3]/QuotaPeakPagedPoolUsage	55
Win32_Process[3]/ReadOperationCount	3
Win32_Process[3]/ReadTransferCount	25092
Win32_Process[3]/SessionId	0
Win32_Process[3]/Status	
Win32_Process[3]/TerminationDate	
Win32_Process[3]/ThreadCount	2
Win32_Process[3]/UserModeTime	0
Win32_Process[3]/VirtualSize	4702208
Win32_Process[3]/WindowsVersion	6.3.9600
Win32_Process[3]/WorkingSetSize	1036288
Win32_Process[3]/WriteOperationCount	3
Win32_Process[3]/WriteTransferCount	729120
Win32_Process[4]/Caption	csrss.exe
Win32_Process[4]/CommandLine	
Win32_Process[4]/CreationClassName	Win32_Process
Win32_Process[4]/CreationDate	20161222161834.749088-480
Win32_Process[4]/CSCreationClassName	Win32_ComputerSystem
Win32_Process[4]/CSName	MICROSO-HL7QCV5
Win32_Process[4]/Description	csrss.exe
Win32_Process[4]/ExecutablePath	
Win32_Process[4]/ExecutionState	
Win32_Process[4]/Handle	828
Win32_Process[4]/HandleCount	199
Win32_Process[4]/InstallDate	
Win32_Process[4]/KernelModeTime	2343750
Win32_Process[4]/MaximumWorkingSetSize	
Win32_Process[4]/MinimumWorkingSetSize	
Win32_Process[4]/Name	csrss.exe
Win32_Process[4]/OSCreationClassName	Win32_OperatingSystem
Win32_Process[4]/OSName	Microsoft Windows Server 2012 R2 Datacenter|C:\Windows|\Device\Harddisk0\Partition1
Win32_Process[4]/OtherOperationCount	8468
Win32_Process[4]/OtherTransferCount	456036
Win32_Process[4]/PageFaults	2113
Win32_Process[4]/PageFileUsage	1996
Win32_Process[4]/ParentProcessId	820
Win32_Process[4]/PeakPageFileUsage	2048
Win32_Process[4]/PeakVirtualSize	46858240
Win32_Process[4]/PeakWorkingSetSize	4020
Win32_Process[4]/Priority	13
Win32_Process[4]/PrivatePageCount	2043904
Win32_Process[4]/ProcessId	828
Win32_Process[4]/QuotaNonPagedPoolUsage	12
Win32_Process[4]/QuotaPagedPoolUsage	123
Win32_Process[4]/QuotaPeakNonPagedPoolUsage	14
Win32_Process[4]/QuotaPeakPagedPoolUsage	130
Win32_Process[4]/ReadOperationCount	112
Win32_Process[4]/ReadTransferCount	102604
Win32_Process[4]/SessionId	0
Win32_Process[4]/Status	
